RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
394576,"Eugene, OR",129,231400,228400,224400,219800,223300,222000,220400,215700,213400,213200,214100,219500,223200,215700,205800,198200,203900,202500,201700,197300,198700,201900,206400,209800,208300,203900,199700,196100,195800,196400,200400,199200,195300,195300,187500,184200,177300,176000,175100,173700,180200,183900,181700,173300,174500,178300,183100,179400,175200,170200,170300,172500,178800,178100,180700,182700,186300,186400,186900,187900,186500,192500,196400,204800,204800,208700,207500,205000,203000,202900,208900,210400,210100,206800,207700,209300,208900,205300,204900,206300,211900,215600,215700,210600,211700,213100,214700,212400,215300,218100,217500,218200,217500,220900,222100,225800,227600,227300,229100,228000,229200,228200,231700,235200,238100,239900,240600,243700,246200,246300,248200,247300,249100,252000,257500,260900,261500,258800,259700,265800,269100,272900,268200,273200,275300,280500,281600,281300,278200,283500,285300,294500,289800,290700,284400,286000,288600,293800,295800
395033,"Rockford, IL",130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98700,100700,102900,102200,101400,103500,103000,104400,103800,104000,103300,104800,106900,109200,108100,107100,105900,107100,112700,119100,123000,120300,117000,114200,112900,112400,113800,111700,112100,112300,116500,115800,115500,118900,120500,120200,118600,119100,120200,121500,
395070,"Savannah, GA",131,,,,,,,,,,,,,,163300,152100,147800,146900,148200,150300,151100,151200,151200,150400,151100,150800,150500,150100,145700,147100,148400,151600,150700,147300,150000,153200,157100,154200,147000,142000,135800,133600,129900,135900,142100,143400,140600,134800,135100,134200,136300,134900,135800,137600,139900,141000,139300,140300,144200,147700,150900,151100,148500,148300,147400,152300,156500,158200,157800,155500,157900,158700,159600,157100,156600,156500,156600,158600,158800,159600,159100,160800,162000,161700,163600,171800,177300,183700,181300,179700,175700,174000,177000,172200,171800,171100,176700,176100,175200,176700,177800,179100,177800,177700,185900,187700,187500,180900,184500,187800,186800,185100,188900,190800,191000,191100,191700,193400,194500,202000,209600,209000,205800,198500,197100,193800,193700,198100,202200,202000,195600,194800,200400,204200,203100,202200,200500,211900,211200,
394332,"Ann Arbor, MI",132,186300,183600,179000,177800,177900,176600,172000,169300,168100,168300,157800,142500,129100,125400,126300,132200,138400,147100,147700,143300,143300,143300,148100,142000,137500,137900,140100,149100,147300,151100,153300,155200,155300,150400,148100,142000,136900,130800,134500,144300,158300,160300,153800,153300,151700,155300,144100,136500,136300,141900,153800,160100,168400,170400,171400,168200,177900,179900,186800,173600,169800,164800,175700,178800,183600,186100,191400,197900,199800,199300,196200,189600,182800,186500,188700,195900,194000,196400,202600,200400,199900,195700,198100,203900,208000,209300,206000,205800,212100,214900,212400,206900,204100,219000,217400,219200,208000,216500,221400,223300,217500,218400,215600,224100,228500,238500,241200,246500,242400,238200,234000,237200,239800,239000,236900,238100,241200,241200,243200,247100,257100,260400,260400,255700,258400,258000,258400,259500,261500,266300,259800,254800,258400,265200,271800,267800,261800,257800,
394927,"Ocala, FL",133,147800,144200,139000,138300,134600,129400,126900,125300,126200,124000,119800,117800,112000,111200,109400,109600,107300,103700,101100,98700,95700,98900,100500,102800,98500,96300,93100,91400,85900,81700,80000,80200,82100,82200,83900,83500,82000,78800,79200,79200,78500,78300,79300,79500,82400,85300,86300,85100,84400,91100,92300,90900,88100,86800,89600,90100,94100,94000,93100,90100,90000,90800,89200,90700,90900,93500,93800,96100,95800,93900,90500,91200,90300,90400,90400,93400,94500,93900,91000,88900,88200,91000,93600,95400,96800,98500,99000,98200,97700,99700,102900,103200,102500,103300,105200,105700,107300,108900,113600,113400,115600,112400,112700,114100,118900,121600,122900,122400,122500,122800,123800,126600,127500,128100,129000,130800,135100,135500,137400,137900,139700,138000,137600,135400,136000,137400,139600,142100,145800,150800,155400,155300,151800,148400,148500,152600,153700,153600,151000
394732,"Kalamazoo, MI",134,105900,108000,105000,103600,102700,104600,106800,105700,98700,93500,88500,94400,91000,92000,85700,86100,89700,93500,97900,94900,95700,93900,89300,93800,97600,105500,98000,96700,97700,93100,91100,87300,96800,97600,95400,89200,87100,87200,86300,88200,96800,95200,93700,89800,94100,94900,96300,96500,97600,98600,97100,95100,96700,102000,107000,106500,107300,110200,107700,105000,100800,99800,98800,104000,105700,113300,111000,111000,107400,107700,108100,107600,107600,112900,115000,117600,118400,119500,117100,113400,115600,115500,117800,119800,127600,131700,127400,122000,120900,125200,127700,126300,121400,119800,120000,122300,122700,124000,128100,129700,127600,125300,127600,131600,134800,135500,135100,134700,131900,130400,129900,134400,137100,136700,135900,140700,142000,146400,145800,149300,149600,143500,144300,140400,145500,142200,143600,141300,143800,146000,145700,150900,150900,154600,151900,151400,154000,154500,
394901,"Naples, FL",135,327000,312200,305400,311400,306700,298300,278200,262900,245100,231500,207400,197600,187000,181800,178000,178400,186300,191700,194400,199900,214900,219100,216800,198500,195000,197700,201900,206400,203300,195400,186000,175300,178300,183300,186900,187300,174300,178900,184900,203800,213400,205400,196200,183700,180100,176800,184500,190000,195500,197100,208000,216600,215200,211400,204600,198500,201800,209100,216900,217200,220000,228200,229200,234300,235000,240600,236000,240400,241100,242800,240900,242900,244900,246200,249700,252000,253900,252900,261500,263300,267900,266500,282700,285500,286300,279000,285400,293500,293900,292300,288500,284600,289500,294300,310100,307100,301800,289500,291200,293600,294800,293700,296900,299800,302000,304000,308800,308800,310000,309000,309500,306600,305200,309700,312800,319400,312800,305600,303100,311700,328300,327200,323800,316100,324500,327100,330500,332800,337700,332600,326400,321000,323900,321000,326200,326600,327800,326400,331000
395107,"South Bend, IN",136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120000,123500,120200,125400,121000,120500,117100,119500,122400,124400,122500,123700,120700,122700,124800,124700,125800,124800,124700,126800,127700,131800,134700,134700,135700,129700,130500,128600,135300,134600,136000,132600,134600,134000,136700,134200,128600,124800,126100,134100,138600,136500,132900,130100,130500,128000,128300,134700,140700,145600,142200,147400,
395109,"Spartanburg, SC",137,106300,103800,96400,94200,96200,90000,86400,83500,89700,94200,98100,88200,86000,82300,90600,92200,97700,97900,98800,95100,98900,98800,95700,89500,88600,88600,92200,92000,92800,88100,82800,82200,84400,88300,93700,94500,92800,83600,80700,82600,88800,95500,93000,86400,80700,83100,84800,83000,85400,94400,98400,99300,93800,93100,86500,90600,88000,93600,92600,95100,95100,92500,93300,93600,96000,95400,95000,90400,92100,91800,96000,87100,88700,83300,93500,90800,98800,100400,102100,102200,100500,104700,103800,104600,104000,102500,103400,105300,109900,113300,115100,118100,114900,113800,113300,112200,113300,113600,118900,118700,115000,114900,116300,119400,122600,123500,126700,126700,128300,129100,129400,130000,126500,125900,125700,128300,129400,130000,130900,133300,141000,141100,139200,130200,130400,130700,130600,130600,132800,135900,139400,136900,141500,141100,144500,142500,144100,142900,143100
394579,"Evansville, IN",138,,,,,,,,,,,,,,,113000,112800,111800,108700,104200,106400,108900,112600,112600,114000,114100,112900,115400,114100,116800,112200,115000,113900,109900,113000,105100,108000,107600,119300,122500,120400,116600,117600,119100,120300,116800,118200,114100,119400,118600,121200,122700,122700,124100,120100,115700,117700,120100,119000,116400,119200,121800,123600,125000,130800,133900,126400,122600,116000,115800,117100,118900,117500,118000,119300,126100,125300,125900,125100,125700,127900,125500,125100,124700,125200,125900,127200,129500,131200,131500,130400,129300,128000,129500,128600,131700,133400,132300,131300,129100,132700,132800,132400,132300,132600,133000,133200,133900,134500,135600,134400,133800,133600,133100,133400,134100,135400,131400,132300,132300,137200,136100,136000,135400,136100,138900,140400,139400,138500,137300,140600,135300,135000,136100,141900,146900,143300,143200,143500,151700
